M. Woledzi,Fredrikstad,Centre-back,22,1196,11.06,7.37,78.57,2.41,50,0,0,0.23,5.27,5.82,1.2,0.15,0,1.35,0,0,0.06,0,0.45,16.67,0,0,0.38,20,0.08,0,0.3,25,0,3.24,37.21,6.55,32.18,0.6,1.35,0.45,18.14,0.15,0.9,33.34,84.88,11.74,71.79,4.52,91.67,13.32,94.92,29.42,88.49,3.54,61.7,21.47,37.34,0.01,0.23,0,0,0,0,0,4.06,79.63,0.68,33.33,0.23,0,0.3,0.08,7.07,59.57,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0,Norway Eliteserien
J. Gundersen,Bodø / Glimt,Centre-back,28,1194,6.26,3.02,65,4.82,62.5,0.38,0.53,0.68,3.92,5.55,0.9,0.23,0,0.3,0,0,0.08,0,0.6,25,0,0.15,0.15,0,0.08,0,0.08,0,0,0.15,100,0.9,50,0.53,2.64,0.3,75,0.45,0.68,88.34,94.2,22.01,81.51,3.92,98.08,53.44,98.87,84.5,96.52,3.69,44.9,19.99,30.68,0.04,0.15,0,0.15,0,0,0.15,14.4,88.48,1.36,50,0.6,62.5,0.75,0,8.82,76.07,0,0,0,0,0,0,0,0,0,0,2.64,0,0,0,0,0,0,0,0,Norway Eliteserien
L. Mares,HamKam,Centre-back,27,1187,10.61,6.82,75.56,1.14,60,0,0,0.61,5.46,5.6,0.91,0.15,0,0.53,0.08,0,0.06,0,0.15,50,50,0,0.08,100,0,0,0,0,0,0.3,100,1.52,70,0.08,0.53,0.15,22.9,0.15,0.38,38.06,87.85,16.45,79.26,3.11,95.12,14.94,95.94,32,93.6,5.99,56.96,22.91,42.8,0.01,0.15,0,0,0.15,50,0,8.26,75.23,0.83,54.55,0.91,41.67,0.3,0,8.11,85.05,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0.08,0,0,0,1,100,Norway Eliteserien
I. Amundsen,Molde,Centre-back,24,1155,8.81,6.55,71.43,4.44,45.61,0.31,0.39,0.39,3.82,4.77,0.7,0.23,0,1.25,0,0,0.07,0,0.39,20,0,0.08,0.31,50,0.08,100,0.23,33.33,0,1.48,63.16,3.74,54.17,0.86,1.95,0.47,51.51,1.01,0.47,63.35,91.27,18.86,82.64,7.32,97.87,26.96,95.95,60.7,93.2,2.34,46.67,16.9,30.88,0.01,0.23,0,0,0.08,100,0.23,7.48,89.58,0.7,55.56,0.08,0,0.23,0.16,6.55,64.29,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,Norway Eliteserien
F. Knudsen,Brann,Centre-back,27,1153,10.38,5.78,86.49,6.71,67.44,0.16,0.27,0.62,5.23,9.1,0.39,0,0,0.39,0.08,0.08,0.06,0.08,0.62,25,12.5,0,0.08,0,0,0,0.08,0,0,0.47,50,1.8,30.43,0.94,0.86,0,44.34,0.31,0.55,62.13,91.33,21.7,83.45,4.22,94.44,30.13,95.85,57.22,94.27,4.84,58.06,20.38,35.55,0,0,0,0,0,0,0,12.02,85.71,0.47,33.33,0.16,0,0,0,8.9,72.81,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,Norway Eliteserien
J. Sery Larsen,Brann,Centre-back,24,1111,8.18,4.29,73.58,5.59,56.52,0.24,0.42,1.05,4.78,8.19,0.89,0.24,0,1.38,0,0,0.12,0,1.22,20,0,0,0.08,100,0,0,0.08,100,0.08,1.38,70.59,2.92,58.33,1.38,1.46,0.08,40.34,0.32,1.22,55.73,93.02,19.28,84.03,3.24,97.5,27.46,99.12,52.9,95.41,2.75,47.06,20.11,34.5,0.01,0.08,0,0,0.08,100,0,8.42,83.65,0.57,42.86,0.49,33.33,0.24,0.08,7.78,78.13,0,0,0,0,0,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0,Norway Eliteserien
F. Berglie,Sandefjord,Centre-back,27,1100,8.18,3.27,52.5,3.6,52.27,0.25,0.32,0.65,6.22,8.06,0.82,0.16,0,0.16,0.08,0.08,0.04,0.08,0.25,33.33,33.333,0,0,0,0,0,0,0,0,0.33,25,1.15,57.14,0.49,0.82,0,38.37,0.57,0.98,54,91.21,13.58,73.49,4.25,98.08,31.42,97.66,49.5,94.88,4.5,50.91,21.1,37.75,0,0,0,0,0,0,0,5.15,61.9,0.25,66.67,0.25,66.67,0.16,0,5.07,67.74,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,Norway Eliteserien
R. Gabrielsen,Lillestrøm,Centre-back,32,1090,7.18,4.29,71.15,2.81,73.53,0.41,0.52,0.33,3.72,4.67,0.41,0.08,0,0.08,0,0,0.02,0,0.17,0,0,0,0.41,0,0.08,0,0.33,0,0,0.17,50,1.9,34.78,0.5,0.5,0.17,51.94,0.33,0.74,66.22,89.9,23.53,82.46,2.81,94.12,31.21,94.97,60.94,92.82,4.87,61.02,18.56,39.02,0,0,0,0,0,0,0,9.17,80.18,0.99,41.67,0.08,100,0.41,0,8.34,69.31,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,Norway Eliteserien
A. Bærtelsen,Haugesund,Centre-back,24,1087,9.19,4.64,71.43,4.47,53.7,0.33,0.42,0.99,5.55,7,0.58,0.08,0,0.66,0,0,0.02,0,0.41,40,0,0,0.33,25,0.08,0,0.25,33.33,0.08,0.83,40,1.57,31.58,0.58,1.9,0,43.88,0.25,0,60.36,89.3,20.95,75.1,3.23,94.87,32.29,98.21,55.06,93.08,5.05,50.82,21.14,41.45,0.01,0.17,0,0,0.08,100,0.25,7.62,72.83,0.75,33.33,0.17,100,0.33,0.17,8.94,62.04,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,Norway Eliteserien
U. Fredriksen,Haugesund,Centre-back,24,1087,9.77,5.05,73.77,2.57,58.06,0.33,0.42,1.08,5.71,7.21,0.75,0,0,0.83,0,0,0.05,0,0.5,50,0,0,0.17,0,0,0,0.17,0,0,0.91,63.64,1.9,39.13,0.41,1.32,0.08,48.6,0.25,0.25,63.42,92.82,21.86,85.61,2.73,96.97,33.45,97.28,57.79,95.99,5.46,62.12,21.28,42.1,0,0,0,0,0,0,0,7.2,86.21,0.5,33.33,0.17,0,0.08,0,9.19,73.87,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,Norway Eliteserien
